file_name,method,terminates,memory,opcode
0xF629cBd94d3791C9250152BD8dfBDF380E2a3B9c.sol,,,,
0x66c97148b91d9dd041dd12d136fa8375c66a9378.sol,,,,
0xb3707eabedf0e9daf1b9d91b881e05dd69bf0ce6.sol,,,,
0x11814e5558aEc4a7523fed4EEFAd76Ba8531F4C2.sol,Powervest.balanceOf:address,True,15,1232
0x11814e5558aEc4a7523fed4EEFAd76Ba8531F4C2.sol,Powervest.symbol,True,15,1129
0x11814e5558aEc4a7523fed4EEFAd76Ba8531F4C2.sol,"Powervest.allowance:address,address",True,15,1445
0x11814e5558aEc4a7523fed4EEFAd76Ba8531F4C2.sol,Powervest.owner,True,15,1137
0x11814e5558aEc4a7523fed4EEFAd76Ba8531F4C2.sol,"Powervest.approve:address,uint256",True,15,23352
0x11814e5558aEc4a7523fed4EEFAd76Ba8531F4C2.sol,"Powervest.transferFrom:address,address,uint256",True,15,65692
0x11814e5558aEc4a7523fed4EEFAd76Ba8531F4C2.sol,"Powervest.transfer:address,uint256",True,15,44478
0x11814e5558aEc4a7523fed4EEFAd76Ba8531F4C2.sol,Powervest.decimals,True,15,1045
0x11814e5558aEc4a7523fed4EEFAd76Ba8531F4C2.sol,Powervest.totalSupply,True,15,1001
0x42547f0b2191022481f760efb378399307acfb85.sol,,,,
0xf72f0aa44e4fab243e31528c048fd80144b387d3.sol,,,,
0xc98e0639c6d2ec037a615341c369666b110e80e5.sol,,,,
0x53848e6049e19bf83acba186aeb42117011becb6.sol,AffiliateNetwork.idx,True,15,1045
0x53848e6049e19bf83acba186aeb42117011becb6.sol,AffiliateNetwork.addAffiliate,True,9,64545
0x53848e6049e19bf83acba186aeb42117011becb6.sol,AffiliateNetwork.affiliateAddresses:uint256,True,15,1192
0x53848e6049e19bf83acba186aeb42117011becb6.sol,AffiliateNetwork.affiliateCodes:address,True,15,1117
0x9c76d1daea99da03f8c5ba5d59bbcd2106e53d53.sol,,,,
0x94bd84e41320f04964c78be4025b2e5699a0727c.sol,,,,
0xe2029478782a7dc5f6185ca740af584da7a74374.sol,,,,
0x1d0e79ce3935f2e15b25e1581441b43d8e97db40.sol,,,,
0x8c53931237b6360345b01f1cfa27f7b10f89be78.sol,,,,
0xa54c4c9ca270e5b1775f000872bd48c11755068e.sol,,,,
0xd7f66e73ebfa13aa2e0947d577f7626752fcd6c5.sol,BurnableOpenPayment.amountReleased,True,15,1375
0xd7f66e73ebfa13aa2e0947d577f7626752fcd6c5.sol,BurnableOpenPayment.delayDefaultAction,True,12,25423
0xd7f66e73ebfa13aa2e0947d577f7626752fcd6c5.sol,BurnableOpenPayment.defaultAction,True,15,1421
0xd7f66e73ebfa13aa2e0947d577f7626752fcd6c5.sol,BurnableOpenPayment.recipient,True,15,1181
0xd7f66e73ebfa13aa2e0947d577f7626752fcd6c5.sol,BurnableOpenPayment.release:uint256,True,15,82604
0xd7f66e73ebfa13aa2e0947d577f7626752fcd6c5.sol,BurnableOpenPayment.burn:uint256,True,15,81812
0xd7f66e73ebfa13aa2e0947d577f7626752fcd6c5.sol,BurnableOpenPayment.callDefaultAction,True,15,88337
0xd7f66e73ebfa13aa2e0947d577f7626752fcd6c5.sol,BurnableOpenPayment.commit,True,15,89234
0xd7f66e73ebfa13aa2e0947d577f7626752fcd6c5.sol,BurnableOpenPayment.getFullState,,,
0xd7f66e73ebfa13aa2e0947d577f7626752fcd6c5.sol,BurnableOpenPayment.defaultTimeoutLength,True,15,1155
0xd7f66e73ebfa13aa2e0947d577f7626752fcd6c5.sol,BurnableOpenPayment.setPayerString:string,True,maximize_failed,26124+3* (nat(l(string))/32)+20070*c(maximize_failed)+5057*c(maximize_failed)+850*c(maximize_failed)
0xd7f66e73ebfa13aa2e0947d577f7626752fcd6c5.sol,BurnableOpenPayment.commitThreshold,True,15,1419
0xd7f66e73ebfa13aa2e0947d577f7626752fcd6c5.sol,BurnableOpenPayment.amountBurned,True,15,1111
0xd7f66e73ebfa13aa2e0947d577f7626752fcd6c5.sol,BurnableOpenPayment.addFunds,True,15,45738
0xd7f66e73ebfa13aa2e0947d577f7626752fcd6c5.sol,BurnableOpenPayment.state,True,15,1377
0xd7f66e73ebfa13aa2e0947d577f7626752fcd6c5.sol,BurnableOpenPayment.payerString,True,maximize_failed,3156+850*nat(payerString/32-1/32)+75*c(maximize_failed)+50*nat(unknown)
0xd7f66e73ebfa13aa2e0947d577f7626752fcd6c5.sol,BurnableOpenPayment.defaultTriggerTime,True,15,1397
0xd7f66e73ebfa13aa2e0947d577f7626752fcd6c5.sol,BurnableOpenPayment.recoverFunds,True,12,33841
0xd7f66e73ebfa13aa2e0947d577f7626752fcd6c5.sol,BurnableOpenPayment.amountDeposited,True,15,1441
0xd7f66e73ebfa13aa2e0947d577f7626752fcd6c5.sol,BurnableOpenPayment.payer,True,15,1049
0xd7f66e73ebfa13aa2e0947d577f7626752fcd6c5.sol,BurnableOpenPayment.recipientString,True,maximize_failed,3442+850*nat(recipientString/32-1/32)+75*c(maximize_failed)+50*nat(unknown)
0xd7f66e73ebfa13aa2e0947d577f7626752fcd6c5.sol,BurnableOpenPayment.setRecipientString:string,True,maximize_failed,26256+3* (nat(l(string))/32)+20070*c(maximize_failed)+5057*c(maximize_failed)+850*c(maximize_failed)
